captured_at	value
2021-12-19T01:17:14.000Z	3000
2021-12-19T01:17:19.000Z	3000
2021-12-19T01:17:24.000Z	3000
2021-12-19T01:17:29.000Z	3100
2021-12-19T01:17:34.000Z	3300
2021-12-19T01:17:39.000Z	3200
2021-12-19T01:17:44.000Z	3200
2021-12-19T01:17:49.000Z	3100
2021-12-19T01:17:54.000Z	3100
2021-12-19T01:17:59.000Z	3200
2021-12-19T01:18:04.000Z	3400
2021-12-19T01:18:09.000Z	3400
2021-12-19T01:18:14.000Z	3700
2021-12-19T01:18:19.000Z	3500
2021-12-19T01:18:24.000Z	3400
2021-12-19T01:18:29.000Z	3800
2021-12-19T01:18:34.000Z	3900
2021-12-19T01:18:39.000Z	4200
2021-12-19T01:18:44.000Z	4300
2021-12-19T01:18:49.000Z	4300
2021-12-19T01:18:54.000Z	4300
2021-12-19T01:18:59.000Z	4300
2021-12-19T01:19:04.000Z	4100
2021-12-19T01:19:09.000Z	4000
2021-12-19T01:19:14.000Z	3800
2021-12-19T01:19:20.000Z	3900
2021-12-19T01:19:25.000Z	4000
2021-12-19T01:19:30.000Z	4000
2021-12-19T01:19:35.000Z	4100
2021-12-19T01:19:40.000Z	4400
2021-12-19T01:19:45.000Z	4600
2021-12-19T01:19:50.000Z	4800
2021-12-19T01:19:55.000Z	4700
2021-12-19T01:20:00.000Z	4600
2021-12-19T01:20:05.000Z	4700
2021-12-19T01:20:10.000Z	4500
2021-12-19T01:20:15.000Z	4500
2021-12-19T01:20:20.000Z	4300
2021-12-19T01:20:25.000Z	4000
2021-12-19T01:20:30.000Z	3900
2021-12-19T01:20:35.000Z	3700
2021-12-19T01:20:40.000Z	3300
2021-12-19T01:20:45.000Z	3000
2021-12-19T01:20:50.000Z	3100
2021-12-19T01:20:55.000Z	3100
2021-12-19T01:21:00.000Z	3300
2021-12-19T01:21:05.000Z	3500
2021-12-19T01:21:10.000Z	3600
2021-12-19T01:21:15.000Z	3700
2021-12-19T01:21:20.000Z	4500
2021-12-19T01:21:25.000Z	4600
2021-12-19T01:21:30.000Z	4400
2021-12-19T01:21:35.000Z	4400
2021-12-19T02:06:30.000Z	3300
2021-12-19T02:06:36.000Z	3400
2021-12-19T02:06:41.000Z	3400
2021-12-19T02:06:46.000Z	3600
2021-12-19T02:06:51.000Z	3600
2021-12-19T02:06:56.000Z	3800
2021-12-19T02:07:01.000Z	3400
2021-12-19T02:07:06.000Z	3500
2021-12-19T02:07:11.000Z	3500
2021-12-19T02:07:16.000Z	3500
2021-12-19T02:07:21.000Z	3500
